,FID,Northing,Easting,LS_Pos,SMU,Measured,SSURGO_RV,ArcSIE_SSU,SS_Manual,SDM,OSD,twi_5m,slope_5m,mrvbf_5m,mrrtf_5m,aachn_5m,twi_10m,slope_10m,mrvbf_10m,mrrtf_10m,aachn_10m,elev10m,elev_5m,twi_30m,slope_30m,mrvbf_30m,mrrtf_30m,aachn_30m,elev_30m,twi_90m,slope_90m,mrvbf_90m,mrrtf_90m,aachn_90m,elev_90m,Pred_Depth_5m_MLR,Pred_Depth_90m_MLR,Pred_Depth_5m_DT,Pred_Depth_90m_DT,Pred_Depth_5m_RF
34,33,4257037.612,526699.259,RT,ZnC3,100,81,200.171661,201,178,152,7.704,2.7207,0.0373,3.8598001,10.9596996,8.4216995,2.8938401,0.1705,2.8069999,12.9491997,198.6929932,198.6629944,9.9489002,3.8713601,0.0671,1.9512,21.9116001,198.2929993,11.4186001,8.2992001,0.2144,0.7177,22.0916996,197.4980011,168.7600177,127.3902312,136.375,121.95,125.5621667
35,34,4256551.38,530105.658,RT,AgrC2,200,64,200.8311,229,229,229,7.5283999,1,0.0104,3.9886999,11.4406004,8.4870996,1.95408,0.0967,2.9837999,12.5910997,212.5390015,212.5579987,10.2821999,2.6837699,0.0231,1.9865,22.5517006,212.3359985,11.4246998,8.0899801,0.0249,0.9517,30.8313007,209.8079987,173.270478,128.9713443,195.5833333,167.0769231,191.6263333
36,35,4256101.614,530066.07,RT,AgrC2,130,64,186.359726,229,229,229,7.9642,6.6999998,0.0982,3.9130001,23.5596008,8.6620998,6.2227702,0.444,1.4923,23.6819992,211.8820038,211.9730072,10.0113001,5.49649,0.0996,1.8723,24.1993999,211.4420013,11.6004,6.51861,0.0487,0.9035,34.9604988,212.7109985,141.3920464,131.9217772,176.6666667,121.95,148.7756667
37,36,4256729.207,530533.854,RT,AgrB,185,64,198.460403,229,229,229,7.5043001,3.7618001,0.0929,3.9861,12.2607002,8.3816004,3.7260201,0.4356,2.8848,13.6310997,212.1060028,212.1849976,9.8831997,5.2649202,0.0714,1.974,18.7702007,211.6750031,11.3164997,9.23528,0.0334,0.9506,23.6221008,209.6109924,165.7419208,126.6271443,195.5833333,167.0769231,181.721
38,37,4257528.25,530700.542,RT,AgrB,136,64,200.429794,229,229,229,7.8610001,2.6905999,0.0711,5.3727999,4.6602998,9.0781002,3.6496899,0.7625,2.8406999,8.2870998,220.7429962,220.8370056,10.7444,3.6075101,0.567,2.6821001,11.8532,220.2109985,12.1322002,3.1739399,6.6402001,3.944,27.1648006,220.2259979,193.7861938,195.4826266,174.6,179.3846154,166.8543333
39,38,4257959.144,532838.867,RT,AgrB,200,64,200.92363,229,229,229,8.0162001,0.39,0.0093,3.4012001,8.1351995,8.9306002,0.62342,0.0474,2.9574001,10.467,250.2749939,250.2960052,10.5232,2.0148699,0.0363,2.6963,18.5639,250.253006,13.8725004,2.8771801,0.0033,5.4829998,52.8492012,250.4080048,173.5807129,178.8054146,176.6666667,167.0769231,181.2111667
40,39,4258451.605,531040.75,RT,AgrC2,200,64,200.601395,229,229,229,7.0046,1.8102,0.0066,3.9473,16.3250008,7.9761,2.7188399,0.0471,2.9507,21.2936001,221.9190063,221.996994,10.9302998,1.3499399,0.0315,1.9809,28.3722,222.0449982,13.0228004,1.776,0.0406,1.5809,38.4793015,219.6600037,163.688519,147.5640153,195.5833333,167.0769231,190.4591667
41,40,4257451.705,529124.245,RT,AgrA,180,76,199.473328,229,229,229,7.7245998,3.6015999,0.0873,4.9003,10.0815001,8.5172005,3.26613,0.3178,2.951,13.9196997,213.3930054,213.2870026,10.0983,3.10744,0.0559,3.652,28.8355999,213.4190063,12.1126003,3.13534,6.783,2.9517,44.9157982,211.5720062,178.7486677,187.6518559,195.5833333,179.3846154,182.6318333
42,41,4259301.12,527898.397,RT,AgrB,200,64,200.196777,229,229,229,8.8023996,2.4505,0.1215,5.4447999,9.3283005,9.5993996,2.08778,1.5556999,4.6975999,12.5396004,200.8150024,200.7960052,10.8135004,1.9771,4.8894,3.9616001,23.0685997,200.8150024,12.8099003,1.90387,6.9570999,2.9617,39.5486984,201.2960052,188.0774569,191.092912,195.5833333,179.3846154,186.9373333
43,42,4259290.536,528020.106,RT,AgrA,200,76,200.798782,229,229,229,8.1384001,1.2701,0.0772,5.0279002,13.5513,9.0186996,1.10833,0.3192,3.9902,16.6991997,202.6080017,202.5859985,10.7735004,1.09387,4.8077002,3.9419,25.6527004,202.5110016,12.9307003,0.805233,6.9531999,2.9498,39.9174995,202.5110016,180.155798,193.2493313,195.5833333,179.3846154,192.1658333
