lid5m_slop,lid5m_cu,sagawi25m
1.51896,-0.009716,6.8063998
1.37234,-0.0100974,6.8330998
1.22024,-0.0082282,6.6683002
1.0146101,-0.0067626,6.5497999
0.821758,-0.006964,6.6729002
0.757701,-0.007396,7.3386998
0.729761,-0.0063386,7.2156
0.682741,-0.0025985,6.7645998
0.515916,0.0030442,7.2426
0.275906,0.0057746,7.8207998
0.426564,0.0016201,8.1896
0.503359,-0.0060146,8.7177
0.754843,-0.0047587,8.3929005
0.796612,0.0040093,7.6988001
0.722635,0.0100121,7.3299999
0.737741,0.0037653,8.1424999
0.461903,-0.0057466,8.6573
0.674368,-0.007944,8.4483995
0.797139,-0.0011785,7.3786998
0.581218,0.0013281,6.7790999
0.861148,0.0023146,5.9021001
0.904511,0.0070334,5.6343999
0.841196,0.0076879,5.6342001
0.950424,-0.0062707,5.8034
1.03725,-0.0107814,6.1746998
0.945324,0.0004295,7.1055002
1.23153,-0.0047148,6.2877998
1.35586,-0.0132573,6.323
1.4196,-0.0004161,5.8099999
1.41654,0.0001374,5.6859002
1.38188,-0.00278,5.8546
1.33605,-0.0051467,6.1300998
1.30914,-0.0058359,6.4601998
1.3428,-0.0021546,6.7193999
1.4012001,0.0028015,6.4260998
1.46517,0.0028801,6.3821001
1.53167,-0.001756,6.5490999
1.54707,-0.0030212,6.5769
1.56304,0.0010294,6.1975002
1.64388,-0.0018535,6.3274002
1.70828,-0.0034507,6.5551
1.75184,0.0000427,6.3586998
1.73682,-0.00024,6.2168999
1.68313,-0.0020332,6.1841998
1.6287301,-0.0021521,6.4846001
1.59846,-0.0013226,6.6265998
1.60347,-0.0047601,6.8502998
1.60412,-0.0070638,6.9106998
1.61397,-0.0038281,6.3354998
1.6172301,-0.0026108,6.6743999
1.58325,-0.00398,6.9612002
1.53388,-0.0036733,6.9735999
1.51959,0.0015774,6.8315001
1.50129,0.0035838,6.9555001
1.5186,0.0014066,7.0932002
1.59363,0.0003612,6.9765
1.6598099,0.0000814,6.8592
1.6566,-0.0007854,6.7702999
1.56794,-0.0021079,6.7790999
1.4279701,-0.0019787,6.6440001
1.2398601,-0.0029014,6.4868999
1.02227,-0.0060681,6.4555998
0.846014,-0.0087026,6.9067998
0.764318,-0.0074147,7.3351002
0.704914,-0.0027759,6.8439999
0.552656,0.0014775,7.0774999
0.400868,0.0024493,7.6100001
0.465917,-0.0024,7.9432001
0.571003,-0.0099574,8.3018999
0.516084,-0.0094374,8.2853003
0.68065,-0.0019041,7.6469998
0.647822,0.005372,6.8578
0.676037,0.0051841,7.5197001
0.669125,-0.0024654,8.2960997
0.479247,-0.0093947,8.6459999
0.832802,-0.0073506,8.0228004
0.707825,-0.0015454,7.2378001
0.927967,0.003868,5.9120002
0.962152,0.0077466,5.6868
0.880398,0.0103466,5.5713
0.946993,0.008568,5.6571002
1.05325,-0.0057613,5.8527999
